epsilon,dataset_size,time,result,query,result_bin
1.25,1000,0.009728193283081,"142,145,155,263,140,154",histogram_age,"57,58,63,72,74,75"
1.25,1000,0.0099031925201416,"143,144,153,261,137,156",histogram_age,"57,58,63,72,74,75"
1.25,1000,0.0097768306732177,"143,147,158,264,138,156",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0094935894012451,"142,145,156,262,138,156",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0095844268798828,"143,146,157,263,138,157",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0099804401397705,"143,145,156,262,137,158",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0109062194824218,"142,145,154,263,138,155",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0116369724273681,"142,146,157,264,136,156",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0113544464111328,"143,145,155,262,137,156",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0112717151641845,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0107338428497314,"143,145,155,263,137,157",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.010019302368164,"143,145,157,260,137,157",histogram_age,"57,58,63,72,74,75"
1.5,1000,0.0103893280029296,"143,146,156,261,135,161",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0115628242492675,"143,145,156,262,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0122530460357666,"143,145,157,262,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0118830204010009,"143,145,155,263,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.010850191116333,"143,144,156,262,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0099322795867919,"143,144,156,264,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0099427700042724,"141,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0109198093414306,"143,145,155,263,137,155",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0111675262451171,"143,145,156,263,137,154",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0115535259246826,"143,146,156,264,137,156",histogram_age,"57,58,63,72,74,75"
1.75,1000,0.0108280181884765,"143,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0107674598693847,"142,145,156,263,136,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0114178657531738,"143,145,156,262,139,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0108299255371093,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0109224319458007,"142,145,156,263,138,157",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0106234550476074,"143,145,157,264,137,155",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0109002590179443,"143,144,157,264,137,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0104546546936035,"144,145,158,262,138,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0104296207427978,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0101854801177978,"145,146,156,263,138,156",histogram_age,"57,58,63,72,74,75"
2.0,1000,0.0112464427947998,"145,155,263,138,157",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0115947723388671,"142,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0112769603729248,"143,145,156,263,137,157",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0118236541748046,"144,142,156,262,137,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0109410285949707,"142,146,157,263,137,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.010913610458374,"144,145,156,263,136,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0103020668029785,"143,145,156,264,137,155",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0103204250335693,"144,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0101616382598876,"143,144,155,263,137,155",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0105373859405517,"142,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.25,1000,0.0108509063720703,"143,144,156,264,137,156",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0117256641387939,"143,145,155,263,137,157",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0122137069702148,"144,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0123662948608398,"143,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0115151405334472,"143,145,156,264,138,156",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0103635787963867,"143,146,156,263,137,155",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0102779865264892,"142,145,156,264,137,157",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0100560188293457,"144,145,156,262,136,155",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0097801685333251,"143,145,155,263,137,156",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.009904146194458,"144,145,156,262,137,157",histogram_age,"57,58,63,72,74,75"
2.5,1000,0.0098884105682373,"142,146,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0099422931671142,"143,146,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0099828243255615,"143,144,156,262,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0109057426452636,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0118885040283203,"143,145,156,263,138,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0118458271026611,"144,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0112867355346679,"143,145,156,263,138,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0111629962921142,"142,145,156,263,138,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.01171875,"143,145,157,263,137,157",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0115172863006591,"143,146,156,263,137,156",histogram_age,"57,58,63,72,74,75"
2.75,1000,0.0106632709503173,"143,145,156,263,137,157",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0107414722442626,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0103473663330078,"142,145,155,262,137,155",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0108644962310791,"143,145,156,263,136,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.011279821395874,"143,145,158,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.011892557144165,"143,145,156,263,138,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0120842456817626,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0106594562530517,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0100386142730712,"142,145,157,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.009800910949707,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
3.0,1000,0.0097017288208007,"143,145,156,264,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0047521591186523,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0048396587371826,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0049805641174316,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0046727657318115,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0045218467712402,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0044498443603515,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0045826435089111,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0047178268432617,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0045516490936279,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
-1.0,1000,0.0046913623809814,"143,145,156,263,137,156",histogram_age,"57,58,63,72,74,75"
0.1,2000,0.0124883651733398,"131,140,428,104,151,8,154,336,302,140,168",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0122191905975341,"130,121,442,101,161,7,156,302,269,147,159",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0114686489105224,"134,136,443,95,158,10,153,295,279,153,157",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0114197731018066,"140,148,432,97,156,-16,165,305,276,140,147",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0119075775146484,"134,154,413,112,158,25,146,322,273,142,176",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
