epsilon,dataset_size,mse,result,time
1.75,1000,205.34750366210938,205.34750366210938,14.996267557144165
2.0,1000,201.63058471679688,201.63058471679688,15.527919292449953
2.0,1000,208.90753173828125,208.90753173828125,15.734443426132202
2.0,1000,188.4023284912109,188.4023284912109,15.180468559265135
2.0,1000,203.95733642578125,203.95733642578125,14.99635100364685
2.0,1000,194.60662841796875,194.60662841796875,14.918083667755127
2.25,1000,203.6846160888672,203.6846160888672,15.589012145996096
2.25,1000,198.7880401611328,198.7880401611328,15.82310152053833
2.25,1000,201.40414428710938,201.40414428710938,15.13349199295044
2.25,1000,193.1290283203125,193.1290283203125,15.708618640899658
2.25,1000,193.73681640625,193.73681640625,20.56488394737244
2.75,1000,205.2402191162109,205.2402191162109,15.671851873397827
2.75,1000,191.3989715576172,191.3989715576172,15.872602939605713
2.75,1000,208.1451568603516,208.1451568603516,15.73717474937439
2.75,1000,187.68539428710938,187.68539428710938,15.744617462158205
2.75,1000,207.8775787353516,207.8775787353516,15.814182043075562
3.0,1000,198.98460388183597,198.98460388183597,15.719037294387816
3.0,1000,190.1107940673828,190.1107940673828,15.852071762084961
3.0,1000,203.7670440673828,203.7670440673828,15.824426651000975
3.0,1000,194.3311767578125,194.3311767578125,15.687755584716795
3.0,1000,206.1663055419922,206.1663055419922,15.11068606376648
2.5,1000,204.18089294433597,204.18089294433597,15.10137128829956
2.5,1000,184.74658203125,184.74658203125,15.145645380020142
2.5,1000,201.6678771972656,201.6678771972656,15.068687438964846
2.5,1000,200.7683258056641,200.7683258056641,15.32275915145874
2.5,1000,195.6089782714844,195.6089782714844,15.777222394943236
-1.0,2000,4.7014336585998535,4.7014336585998535,9.748591899871826
0.1,2000,23.090496063232425,23.090496063232425,29.635868549346924
0.1,2000,14.559226036071776,14.559226036071776,29.316474437713623
0.1,2000,59.16961288452149,59.16961288452149,29.44515681266785
0.1,2000,13.670101165771484,13.670101165771484,29.376571893692017
0.1,2000,11.004511833190918,11.004511833190918,29.32175993919373
0.25,2000,5.2562127113342285,5.2562127113342285,29.294654130935672
0.25,2000,6.809768199920653,6.809768199920653,29.321807861328125
0.25,2000,5.855133056640625,5.855133056640625,29.295770406723022
0.25,2000,7.6787166595458975,7.6787166595458975,29.825960397720337
0.25,2000,6.568279266357423,6.568279266357423,30.727234363555908
0.5,2000,5.774426460266112,5.774426460266112,30.63553786277771
0.5,2000,5.753011703491211,5.753011703491211,30.65350699424744
0.5,2000,5.582781791687012,5.582781791687012,30.80593061447144
0.5,2000,8.631166458129883,8.631166458129883,30.416518926620483
0.5,2000,9.475381851196287,9.475381851196287,30.027337074279785
0.75,2000,6.940361976623535,6.940361976623535,30.695777177810672
0.75,2000,5.919529914855957,5.919529914855957,30.70717406272888
