epsilon,dataset_size,mse,result,time
-1.0,1000,3.5866930484771733,3.5866930484771733,10.846025943756104
0.1,1000,31.72629356384277,31.72629356384277,11.382371187210085
0.1,1000,119.9206771850586,119.9206771850586,13.689851522445679
0.1,1000,438.7985534667969,438.7985534667969,11.88566255569458
0.1,1000,191.16183471679688,191.16183471679688,11.720296382904053
0.1,1000,84.4012680053711,84.4012680053711,11.0164794921875
0.25,1000,10.47242832183838,10.47242832183838,11.653557300567627
0.25,1000,11.454480171203613,11.454480171203613,10.995996713638306
0.25,1000,11.346209526062012,11.346209526062012,11.694992780685425
0.25,1000,10.749117851257324,10.749117851257324,11.634943723678589
0.25,1000,9.498884201049805,9.498884201049805,10.850582838058472
0.5,1000,8.361734390258789,8.361734390258789,11.105623245239258
0.5,1000,7.375248432159424,7.375248432159424,11.091451168060305
0.5,1000,7.14759635925293,7.14759635925293,11.140816450119019
0.5,1000,5.255724906921387,5.255724906921387,11.630691051483154
0.5,1000,13.033424377441404,13.033424377441404,21.884661436080933
0.75,1000,7.7088260650634775,7.7088260650634775,10.984269618988037
0.75,1000,5.606757164001465,5.606757164001465,11.411293029785154
0.75,1000,6.723122596740723,6.723122596740723,11.689923763275145
0.75,1000,4.761099338531494,4.761099338531494,11.387240886688232
0.75,1000,9.534819602966307,9.534819602966307,11.188480854034424
1.0,1000,5.324566841125488,5.324566841125488,11.651979446411133
1.0,1000,5.112110137939453,5.112110137939453,11.99513554573059
1.0,1000,5.196653842926025,5.196653842926025,11.014119148254396
1.0,1000,5.613631725311278,5.613631725311278,10.942854404449463
1.0,1000,7.868412494659424,7.868412494659424,11.635677576065063
1.25,1000,4.370589256286621,4.370589256286621,11.716384887695312
1.25,1000,3.991520881652832,3.991520881652832,11.259185552597046
1.25,1000,5.132089138031006,5.132089138031006,11.628779888153074
1.25,1000,4.379074573516847,4.379074573516847,11.258885622024536
1.25,1000,4.337698459625243,4.337698459625243,11.316386222839355
1.75,1000,5.636446475982666,5.636446475982666,11.204812049865724
1.75,1000,4.084630012512207,4.084630012512207,12.009686946868895
1.75,1000,4.830380439758301,4.830380439758301,11.699042081832886
1.75,1000,5.125388622283936,5.125388622283936,11.198067665100098
1.75,1000,5.5966010093688965,5.5966010093688965,11.329652786254885
1.5,1000,4.617485523223877,4.617485523223877,11.355278730392456
1.5,1000,4.922857761383057,4.922857761383057,11.472121953964233
1.5,1000,4.422866344451903,4.422866344451903,11.001614093780518
1.5,1000,4.648332595825195,4.648332595825195,11.18962049484253
1.5,1000,4.514043807983398,4.514043807983398,11.98580527305603
2.5,1000,4.361731052398682,4.361731052398682,11.089980125427246
2.5,1000,5.104248523712158,5.104248523712158,22.195003747940067
2.5,1000,4.525117874145508,4.525117874145508,11.64000153541565
2.5,1000,4.706239700317383,4.706239700317383,11.30755376815796
2.5,1000,5.063196659088135,5.063196659088135,11.041312456130981
2.0,1000,4.923790454864502,4.923790454864502,11.299440622329712
2.0,1000,5.011033058166504,5.011033058166504,13.51887059211731
2.0,1000,5.493640899658203,5.493640899658203,11.14359712600708
2.0,1000,4.724116325378418,4.724116325378418,10.985407829284668
2.0,1000,5.105776786804199,5.105776786804199,11.652055025100708
2.25,1000,4.603752136230469,4.603752136230469,11.673452138900757
2.25,1000,6.25601053237915,6.25601053237915,11.539806842803955
2.25,1000,5.216099262237549,5.216099262237549,11.31450128555298
2.25,1000,4.832006931304932,4.832006931304932,11.636545181274414
2.25,1000,4.906892776489258,4.906892776489258,11.261407852172852
2.75,1000,5.436053276062012,5.436053276062012,11.067498445510864
2.75,1000,5.339787483215332,5.339787483215332,12.001344203948975
2.75,1000,5.007062911987305,5.007062911987305,11.16803789138794
