dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
8000,0.75,531.7779720430001,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-04T16:03:48,,
8500,0.75,142.9694259117169,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-04T16:09:07,,
9000,0.75,35.06266700086545,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-04T16:14:46,,
9358,0.75,75.91255859209622,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-04T16:20:28,,
3000,1.0,73.90308457725561,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-13T17:27:16,,
4000,1.0,126.1339180029325,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-13T17:39:25,,
5000,1.0,63.36204152996875,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-13T17:58:23,,
7000,1.0,314.2607852706712,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-13T19:00:53,,
1000,1.0,107.2779662897232,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T16:23:12,,
2000,1.0,169.97530171775028,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T16:26:14,,
6000,1.0,65.19190788313178,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T16:42:21,,
8000,1.0,51.99574676997043,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T16:53:20,,
8500,1.0,47.31830428061012,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T16:59:28,,
9000,1.0,268.1746787671848,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T17:06:02,,
9358,1.0,41.237177281561664,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-04T17:12:40,,
