query,dataset_size,epsilon,result,tool,time
avg_insured,6000,0.1,74.43663241391742,smartnoise_dpctgan,
avg_ppeducat,6000,0.1,24.8014361875748,smartnoise_dpctgan,
avg_ppincimp,6000,0.1,0.19725343320849098,smartnoise_dpctgan,
avg_q1,6000,0.1,7.185747278126022,smartnoise_dpctgan,
count_insured,6000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,6000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,6000,0.1,0.0,smartnoise_dpctgan,
count_q1,6000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,6000,0.1,646.6586549334176,smartnoise_dpctgan,
histogram_ppeducat,6000,0.1,187.66452359420447,smartnoise_dpctgan,
histogram_ppincimp,6000,0.1,41.37077358871091,smartnoise_dpctgan,
histogram_q1,6000,0.1,87.04492298390868,smartnoise_dpctgan,
sum_insured,6000,0.1,74.43663241391744,smartnoise_dpctgan,
sum_ppeducat,6000,0.1,24.8014361875748,smartnoise_dpctgan,
sum_ppincimp,6000,0.1,0.1972534332084894,smartnoise_dpctgan,
sum_q1,6000,0.1,7.185747278126032,smartnoise_dpctgan,
avg_insured,7000,0.1,68.90951276102089,smartnoise_dpctgan,
avg_ppeducat,7000,0.1,25.711210930189026,smartnoise_dpctgan,
avg_ppincimp,7000,0.1,0.8614361587287804,smartnoise_dpctgan,
avg_q1,7000,0.1,0.8180535966149584,smartnoise_dpctgan,
count_insured,7000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,7000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,7000,0.1,0.0,smartnoise_dpctgan,
count_q1,7000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,7000,0.1,590.8277803172541,smartnoise_dpctgan,
histogram_ppeducat,7000,0.1,212.3253355023949,smartnoise_dpctgan,
histogram_ppincimp,7000,0.1,51.10668857354381,smartnoise_dpctgan,
histogram_q1,7000,0.1,91.14081093360643,smartnoise_dpctgan,
sum_insured,7000,0.1,68.90951276102089,smartnoise_dpctgan,
sum_ppeducat,7000,0.1,25.711210930189033,smartnoise_dpctgan,
sum_ppincimp,7000,0.1,0.8614361587287879,smartnoise_dpctgan,
sum_q1,7000,0.1,0.8180535966149507,smartnoise_dpctgan,
avg_insured,8000,0.1,73.62279511533242,smartnoise_dpctgan,
avg_ppeducat,8000,0.1,22.750132886290224,smartnoise_dpctgan,
avg_ppincimp,8000,0.1,8.334445736951505,smartnoise_dpctgan,
avg_q1,8000,0.1,0.9363757330836395,smartnoise_dpctgan,
count_insured,8000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,8000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,8000,0.1,0.0,smartnoise_dpctgan,
count_q1,8000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,8000,0.1,611.2307483436888,smartnoise_dpctgan,
histogram_ppeducat,8000,0.1,173.4437593257166,smartnoise_dpctgan,
histogram_ppincimp,8000,0.1,51.82700027543417,smartnoise_dpctgan,
histogram_q1,8000,0.1,91.82536750749418,smartnoise_dpctgan,
sum_insured,8000,0.1,73.62279511533242,smartnoise_dpctgan,
sum_ppeducat,8000,0.1,22.750132886290224,smartnoise_dpctgan,
sum_ppincimp,8000,0.1,8.334445736951505,smartnoise_dpctgan,
sum_q1,8000,0.1,0.9363757330836331,smartnoise_dpctgan,
avg_insured,8500,0.1,66.42419601837672,smartnoise_dpctgan,
avg_ppeducat,8500,0.1,22.958752592365006,smartnoise_dpctgan,
avg_ppincimp,8500,0.1,8.628153321393537,smartnoise_dpctgan,
avg_q1,8500,0.1,6.635709310424888,smartnoise_dpctgan,
count_insured,8500,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,8500,0.1,0.0,smartnoise_dpctgan,
