dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
4000,2.0,943.5886029770564,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-06-05T12:37:11,,
5000,2.0,1027.695650654217,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-06-05T12:53:39,,
4000,2.25,1648.202417522156,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T10:36:58,,
5000,2.25,987.5110507889582,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T10:47:34,,
5499,2.25,958.3068370278227,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T11:00:55,,
1000,2.25,3150.338530842285,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-06-05T12:56:25,,
2000,2.25,2980.343776895646,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-06-05T13:12:52,,
5499,2.5,865.1006151346758,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-17T11:02:38,,
1000,2.5,2812.4556948528752,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-06-05T13:55:13,,
5000,2.75,2525.725652811386,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-17T10:50:40,,
1000,2.75,4054.455123051333,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-06-05T14:50:19,,
2000,2.75,1555.4870063599471,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-06-05T14:56:02,,
3000,3.0,1804.6640269381428,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:31:48,,
4000,3.0,1484.4228665436683,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:40:29,,
5000,3.0,861.8648940719942,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:52:34,,
1000,3.0,4909.3412111038515,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-23T19:30:08,,
2000,3.0,2304.2804450784797,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-06-05T16:05:26,,
1000,0.1,2658.79202703115,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:07:12,,
3000,0.1,1746.1043816409865,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:15:37,,
4000,0.1,946.0547915921163,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:21:23,,
5000,0.1,776.2410017003799,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:28:34,,
5499,0.1,1005.2063216210965,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:37:03,,
2000,0.1,1475.9823006193997,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-06-05T09:00:10,,
3000,0.25,1454.802940461022,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:15:52,,
4000,0.25,955.7061423280155,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:21:52,,
5000,0.25,998.1801481159652,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:29:20,,
5499,0.25,939.1873782798522,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:37:16,,
1000,0.25,3388.6189357511635,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-06-05T09:06:37,,
2000,0.25,1472.8036462125744,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-06-05T09:08:49,,
5499,0.5,994.4695625412909,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-05-15T07:37:55,,
1000,0.5,3814.3738822964933,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-06-05T09:16:42,,
2000,0.5,1633.2010706550357,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-06-05T09:19:00,,
3000,0.5,1426.4635834930339,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-06-05T09:20:25,,
4000,0.5,983.5999423735589,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-06-05T09:22:24,,
5000,0.5,1033.037045947847,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-06-05T09:25:31,,
5499,0.75,1032.7933344716942,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-05-15T07:38:09,,
1000,0.75,2944.754166217696,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-06-05T09:31:01,,
2000,0.75,1792.0690224286338,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-06-05T09:33:25,,
3000,0.75,1666.1821692205972,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-06-05T09:35:23,,
4000,0.75,894.9460867463831,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-06-05T09:38:16,,
5000,0.75,906.6417911104347,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-06-05T09:41:53,,
2000,1.0,1613.747460789188,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:11:44,,
3000,1.0,1285.2755326183062,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:16:52,,
4000,1.0,922.0708898173147,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:22:44,,
5499,1.0,1067.6068881855194,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:38:53,,
1000,1.0,2910.5740210790163,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-06-05T10:00:42,,
5000,1.0,854.337312190577,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-06-05T10:14:21,,
1000,1.25,2731.586976618289,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:08:08,,
2000,1.25,1475.6413795020171,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:12:08,,
3000,1.25,1319.6544748656206,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:17:13,,
5499,1.25,962.0795693671722,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:39:11,,
4000,1.25,878.870614697531,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-06-05T10:28:04,,
5000,1.25,915.3917844117751,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-06-05T10:35:34,,
5499,1.5,1066.525576749268,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-05-15T07:40:04,,
1000,1.5,2588.200793409538,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-06-05T10:41:41,,
2000,1.5,1759.8769497911685,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-06-05T10:45:11,,
3000,1.5,1645.289602000861,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-06-05T10:55:36,,
4000,1.5,919.2819931313,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-06-05T11:00:31,,
5000,1.5,882.4967980406482,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-06-05T11:17:55,,
1000,1.75,2574.0280919277666,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:08:32,,
2000,1.75,1472.569383781254,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:12:48,,
3000,1.75,1892.9925956047487,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:17:50,,
5000,1.75,942.2976330895716,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:32:03,,
5499,1.75,978.4332396341837,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:40:54,,
4000,1.75,817.9711403064425,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-06-05T11:40:40,,
2000,2.0,1313.4346241766602,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:13:13,,
5000,2.0,998.904867114188,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:33:01,,
5499,2.0,1035.6944925068242,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:41:19,,
1000,2.0,2499.148758870917,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-06-05T12:01:22,,
3000,2.0,1626.9140832589326,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-06-05T12:15:41,,
4000,2.0,942.0050283717277,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-06-05T12:23:46,,
2000,2.25,1419.251641090702,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:13:41,,
3000,2.25,1486.5920248430427,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:18:52,,
4000,2.25,972.720813834064,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:25:34,,
5499,2.25,1007.0208219793548,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:42:36,,
1000,2.25,3312.2023193658515,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-06-05T12:55:14,,
5000,2.25,1000.9573204593228,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-06-05T13:35:45,,
1000,2.5,2601.1603875407877,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:09:46,,
5000,2.5,870.4405862475038,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:34:37,,
5499,2.5,1059.8224876760157,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:43:07,,
2000,2.5,1368.578776029145,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-06-05T13:55:55,,
3000,2.5,1409.0296618389964,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-06-05T14:02:35,,
4000,2.5,1074.4646457135686,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-06-05T14:12:56,,
1000,2.75,2482.3330872277866,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:10:16,,
3000,2.75,1681.2967059076434,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:20:09,,
5499,2.75,895.5138015686246,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:44:31,,
2000,2.75,1436.349576260306,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-06-05T14:51:56,,
4000,2.75,953.207534192463,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-06-05T15:10:38,,
5000,2.75,932.9948543895339,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-06-05T15:29:26,,
1000,3.0,3206.5064860122993,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:10:48,,
2000,3.0,1448.1437390938422,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:15:12,,
4000,3.0,840.7202747480005,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:28:18,,
5000,3.0,883.6197733557473,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:36:37,,
5499,3.0,1074.1176496795297,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:45:09,,
3000,3.0,1501.5662670247684,tensorflow_privacy,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-06-05T16:08:59,,
1000,0.1,3138.116520851986,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:18:28,,
3000,0.1,1568.8057878351258,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:25:51,,
4000,0.1,1415.992404883452,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:32:00,,
5000,0.1,887.7614282084567,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:41:23,,
5499,0.1,1220.1025420379742,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:53:31,,
1000,0.25,2712.1621601832394,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:18:41,,
2000,0.25,1453.5172082100144,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:22:14,,
3000,0.25,1689.7388731405229,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:26:14,,
5000,0.25,1063.3583793105934,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:41:41,,
5499,0.25,946.0320014415115,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:54:16,,
1000,0.5,3272.430787009084,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:18:49,,
2000,0.5,1878.8862803262234,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:22:20,,
4000,0.5,1347.8192537838079,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:32:55,,
1000,0.75,4015.1940948030556,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-05-17T10:18:53,,
2000,0.75,4072.304754074773,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-05-17T10:22:33,,
1000,1.0,4282.40962713888,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-17T10:19:02,,
1000,1.25,3309.0669745869995,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-05-17T10:19:15,,
2000,1.5,7353.010472898046,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-17T10:23:17,,
1000,1.75,5181.192793535447,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-17T10:19:51,,
5499,1.75,1169.7668538548553,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-17T10:58:09,,
1000,2.0,7254.713725418918,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-17T10:20:00,,
5499,2.0,1791.89010178028,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-17T10:59:24,,
4000,2.25,1690.4717890664283,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T10:36:58,,
5000,2.25,995.8677577750132,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T10:47:34,,
5499,2.25,975.311820214994,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-17T11:00:55,,
5499,2.5,872.9315171738674,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-17T11:02:38,,
5000,2.75,2705.773050297721,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-17T10:50:40,,
3000,3.0,1789.859191191731,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:31:48,,
4000,3.0,1421.7430093038188,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:40:29,,
5000,3.0,918.8241740999488,diffprivlib,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-17T10:52:34,,
1000,0.1,2919.648679033393,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:07:12,,
3000,0.1,1869.5430017044039,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:15:37,,
4000,0.1,953.6980722665611,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:21:23,,
5000,0.1,821.6549023629167,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:28:34,,
5499,0.1,987.0692065787061,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.1_2021-05-15T07:37:03,,
3000,0.25,1504.7497158768745,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:15:52,,
